text,adaptive,corrective,perfective
"Add support for unowned/weak array elements
",1,0,0
"drivers: Mark arrays as unowned instead of weak
",0,0,1
"ctypresolver: signals: register default implementations
",1,0,0
"signals: collect default implementations
",1,0,0
"embedded: Fix check() for relative paths
",0,1,0
"doap++
",0,0,1
"gir-importer: docbook: process all <doc-* tags
",1,0,0
"gir: ignore type struct docs
",1,0,0
"girmetadata: allow to override <ONLINE>
",1,0,0
"gir-importer: docbook: resolve internal links
",1,0,0
"gir-importer: markdown: resolve internal links
",1,0,0
"Allow to inherit from imported docs
",1,0,0
"html: add <meta charset=""UTF-8""/>
",0,1,0
"gir-importer: skip <union> elements without ctype-attributes
",0,1,0
"Split process-comments into parse and check runs
",0,0,1
"ctyperesolver, virtual signals: register function pointer names
",1,0,0
"docbook: improve implicit parameter handling
",1,0,0
"Improve handling for c::this
",1,0,0
"docbook-parser: Accept symbols with trailing 's'
",1,0,0
"Improve CTypeResolver for virtual/abstract methods
",1,0,0
"gir-importer: add support for markdown
",1,0,0
"devhelp: Generate better keywords
",1,0,0
"devhelp: Add missing keywords
",0,1,0
"basic doclet: Add ""wiki-index-name""

Used by valadoc.org
",1,0,0
"Add support for cgraphs

Based on patch by Richard Schwarting

Fixes bug 703688.
",1,0,0
"Importer: Resolve c::*_finish methods
",1,0,0
"gir-importer: Ignore <annotation> tags
",1,0,0
"gir-importer: Add support for <instance-parameter>
",1,0,0
"coding style changes
",0,0,1
"gtkdoc: Document implicit struct functions
",1,0,0
"libvaladoc: Add Struct.copy_function_cname, Struct.destroy_function_cname
",1,0,0
"gtkdoc: Avoid warnings for undocumented parameters
",0,1,0
"gtkdoc: Improve docs for generics
",1,0,0
"0.20.x: Add support for [GenericAccessors]
",1,0,0
"0.18.x: Add support for [GenericAccessors]
",1,0,0
"0.14.x: Fix TypeParameter.base
",0,1,0
"0.16.x: Fix TypeParameter.base
",0,1,0
"0.18.x: Fix TypeParameter.base
",0,1,0
"0.20.x: Fix TypeParameter.base
",0,1,0
"gtkdoc: Improve documentation for _get and _set
",1,0,0
"libvaladoc: Use --api-version instead of --version
",1,0,0
"driver: Add support for vala-0.20
",1,0,0
"Fix make check for older valac versions
",0,1,0
"gee-0.8
",1,0,0
"gtkdoc-scanner: Add support for &nbsp;, &quot;, &apos;
",1,0,0
"configure.in -> configure.ac
",0,0,1
"Fix generic-api-test (out -> @out)
",0,1,0
"libvaladoc: Avoid multiple imports
",1,0,0
"libvaladoc: .valadoc-importer: Fix encoding issues
",0,1,0
"libvaladoc/content: SourceCode: Strip leading and trailing empty lines
",1,0,0
"libvaladoc: .valadoc-importer: Add support for ::append and ::prepend
",1,0,0
"importer: gir: Process callback comments
",1,0,0
"libvaladoc: is_browsale: check parents
",0,1,0
"libvaladoc: Mark TypeParameter as unbrowsable
",0,1,0
"libvaladoc: Escape names if necessary
",0,1,0
"doclet/gtkdoc: Escape text and source code
",0,1,0
"Accept {@inheritDoc} in comments without parent documentation
",0,1,0
"Fix make distcheck
",0,0,1
"Improve {@inheritDoc}
",1,0,0
"libvaladoc/html: Fix nullptr in write_documentation
",0,1,0
"icons: s/font: monospace/font-family: monospace
",0,1,0
"libvaladoc: Accept error codes in @throws
",1,0,0
"tests: Add missing vapi
",0,0,1
"doclets/gtkdoc: Fix [Deprecated]
",0,1,0
"libvaladoc: Api.Class: Add is_compact
",1,0,0
"libvaladoc/api: Add finalize and free function names to Api.Class
",1,0,0
"doclets/gtkdoc: Register struct type macro/function
",1,0,0
"libvaladoc/api: Hide unbrowsable property getters and setters
",0,1,0
"libvaladoc: Add metadata for gtkdoclet
",1,0,0
"tests: Update generic-api-test
",0,0,1
"Add tests for drivers
",0,0,1
"Add tests for MarkupReader
",0,0,1
"Add tests for libvaladoc/parser and gtkdoc-scanner
",0,0,1
"libvaladoc: Move Api.NodeType to api/nodetype.vala
",0,0,1
"drivers: fix namespace comment selection
",0,1,0
"libvaladoc: fix vala 0.14.x compatibility
",0,1,0
"libvaladoc/html: Show all known sub-structs
",1,0,0
"libvaladoc: register child structs
",1,0,0
"libvaladoc: Drop deprecated methods
",0,0,1
"libvaladoc: rename Api.Interface.get_all_implemented_interface_list to get_full_implemented_interface_list
",0,0,1
"libvaladoc/html: Add ""All known members inherited from ""
",1,0,0
"gtkcommentparser: Fix --verbose
",0,1,0
"gir-importer: Process implicit parameters
",1,0,0
"gtkdoc: accept %<numeric>
",1,0,0
"libvaladoc/api: Fix memory cycle: method.base_method <> method
",0,1,0
"driver/0.18.x: Add support for vala-0.17.4
",1,0,0
"libvaladoc/parser: add workaround for  broken symbol resolver (valac 0.17.4)
",1,0,0
"libvaladoc: accept @return in constructors
",1,0,0
"libvaladoc: accept ""Vala ??.??.??-dirty"" as driver format
",1,0,0
"error/warning message improvements
",0,0,1
"doclets/devhelp: Imrpove page titles
",0,0,1
"doclets/htm: Imrpove page titles
",0,0,1
"libvaladoc: Improve plugin selection (#676453)
",1,0,0
"libvaladoc: Avoid reparsing of comments
",0,1,0
"libvaladoc/taglets: error/warning message improvements
",0,0,1
"libvaladoc/html: Add methods to package overviews
",0,1,0
"libvaladoc/api: Fix documentation for Method.is_override
",0,0,1
"libvaladoc/api: Fix documentation for Method.is_static
",0,0,1
"libvaladoc/api: Drop glib_error
",0,0,1
"libvaladoc: Add context check for @return
",1,0,0
"libvaladoc: Add context check for @throws
",1,0,0
"libvaladoc: ErrorReporter: Drop ErrorType
",0,0,1
"libvaladoc: @throws: Check for unthrown exceptions
",1,0,0
"libvaladoc/api: Add missing parameters to signals
",0,1,0
"driver/0.18.x: Add support for vala-0.17.1+
",1,0,0
"libvaladoc/html: Turn namespace/package-notes into links
",0,0,1
"Add support for valac 0.18.0
",1,0,0
"driver: Trim lines in *.dep files
",0,1,0
"libvaladoc: Fix typo in ValadocDocumentationScanner
",0,0,1
"libvaladoc: documentation fixes
",0,0,1
"libvala: Add support for libvala-0.16
",1,0,0
"libvaladoc/html: Sort subnamespaces in navis
",1,0,0
"libvaladoc: gir-importer: Error reporting improvements
",0,0,1
"doclet/devhelp: Add name="""" to <book>
",0,1,0
"valadoc: LinkHelper: turn get_package_link into a virtual method
",1,0,0
"libvaladoc: mark @deprecated as deprecated
",1,0,0
"libvaladoc: docparser: Fix invalid cast in lists
",0,1,0
"gtkdoc-renderer: Fix broken escapes
",0,1,0
"gtkdoc-renderer: Avoid possible \n in signal/property-links
",0,1,0
"gtk-importer: Allow ""struct [id]*] inside docbook type tags
",1,0,0
"gtkdoc-parser: Allow <title> in ordered and itemized lists
",1,0,0
"gtkdoc-parser: Fix possible infinite loop
",0,1,0
"gtkdoc-importer: Add support for orderedlist
",1,0,0
"gtkdoc-importer: Add support for refsect3
",1,0,0
"gtkdoc-importer: Add support for variablelist
",1,0,0
"gtkdoc-importer: Add support for sections
",1,0,0
"libvaladoc: Accept block content in list-items
",1,0,0
"gtkdoc-importer: Allow mixed content in refsect2
",1,0,0
"gtkdoc-parser: Add a helper for mixed content
",0,0,1
"gtkdoc-importer: Add support for abbrev
",1,0,0
"gtkdoc-importer: Add support for literallayout
",1,0,0
"gtkdoc-importer: Add support for informaltable
",1,0,0
"gtkdoc-importer: Add support for computeroutput
",1,0,0
"gtkdoc-importer: Add support for varname
",1,0,0
"gtkdoc-importer: Fix to_string for xml-close
",0,1,0
"gtkdoc-importer: Add support for figures
",1,0,0
"libvaladoc: gtkdoc: Add support for important
",1,0,0
"gtkdoc-importer: Merge rule for example & informalexample
",0,0,1
"Add a metadata-format for gir files
",1,0,0
"libvaladoc: Add support for SourceCode attributes
",1,0,0
"Add support for vala 0.15.1
",1,0,0
"Embedded: Search images relative to the file
",1,0,0
"doclets/devhelp: Add full wiki-support
",1,0,0
"libvaladoc: Allow conditional spaces in headlines
",1,0,0
"libvaladoc: Fix broken nullchecks in parser.error & warning
",0,1,0
"libvaladoc: add helpers for valadoc.org
",1,0,0
"libvaladoc: drop varargs for signatures with implicit parameters
",0,1,0
"Fix -D
",0,1,0
"libvaladoc/html: Keep error-reporter for derived doclets
",1,0,0
"libvaladoc: gtkdoc-parser: Fix possible segfault in footnotes
",0,1,0
"libvaladoc: ModuleLoader cleanups
",0,0,1
"libvaladoc: ModuleLoader cleanups
",0,0,1
"libvaladoc: gir-reader: accept @<id>(::|:|->|.)(<gid>)
",1,0,0
"libvaladoc/html: Add style for {{{source}}}
",1,0,0
"libvaladoc: gir-reader: Unescape %, @, (, ), &, #
",1,0,0
"libvaladoc/html: Signals: Hide content listing
",0,1,0
"libvaladoc: gir-reader: accept #[id].[id|func]
",1,0,0
"libvaladoc/html: Hide redundant links
",0,0,1
"Fix segfault triggered by valac-errors
",0,1,0
"libvaladoc: reorder @param
",1,0,0
"libvaladoc: @parameter: check for existence
",1,0,0
"libvaladoc/api: Signals: Add missing ""signal"" keyword to signatuers
",0,1,0
"libvaladoc: gir-reader: accept #[id]->[id|func]
",1,0,0
"libvaladoc: gir-reader: allow _ as prefix in function names
",0,1,0
"libvala: gir-reader: fix spaces/newlines in img-alt-text
",0,1,0
"libvaladoc: gir-reader: Improve @-quirks-mode
",1,0,0
"libvaladoc: gir-reader: accept &pi;, &gt;, &lt;, &solidus;
",1,0,0
"libvaladoc: gir-reader: accept @...
",1,0,0
"libvaladoc: gir-reader: improve short descs
",1,0,0
"libvaldoc/html: Add missing - between ns and short desc
",0,1,0
"Add initial reading-support for <doc>
",1,0,0
"Add warning & note tags
",1,0,0
"driver: merge 0.13.* and 0.14.*
",0,0,1
"libvaladoc: parser: Fix broken ?
",0,1,0
"libvaladoc: gir-importer, c-resolver : various improvements
",1,0,0
"drivers: merge 0.11.* and 0.12.*
",0,0,1
"doclets: Fix text size in html & devhelp
",0,1,0
"gir: basic reading support
",1,0,0
"driver/0.13: vapidir-fix
",0,1,0
"Add doap file
",0,0,1
"driver: 0.14: Add throws declaration to signatures
",0,1,0
"drivers: Add 0.16.x
",1,0,0
"doclets/devhelp && htm: Fix output directory creation
",0,1,0
"drivers: Add 0.14.x driver
",1,0,0
"libvaladoc/html: BasicDoclet: <title> improvements
",0,0,1
"driver-0.13.x: Add basic gir support
",1,0,0
"Various cleanups
",1,1,1
"driver/0.10.x: Fix get_method_binding_type, static
",0,1,0
"driver/0.10.x: Add support for attributes
",1,0,0
"driver/0.10.x: Fix type parameter creation for methods and implemented interfaces
",0,1,0
"driver/0.11.0: Add support for attributes
",1,0,0
"version/0.11.0: Fix get_method_binding_type, static
",0,1,0
"driver/0.11.0: Fix type parameter creation for methods and implemented interfaces
",0,1,0
"driver/0.11.x: Fix type parameter creation for methods and implemented interfaces
",0,1,0
"version/0.11.x: Fix get_method_binding_type, static
",0,1,0
"driver/0.12.x: Add support for attributes
",1,0,0
"driver/0.12.x: Fix type parameter creation for methods and implemented interfaces
",0,1,0
"ver/0.12.x: Fix get_method_binding_type, static
",0,1,0
"driver/*, libvaladoc: Move ChildSymbolRegistrar to libvaladoc
",0,0,1
"libvaladoc/html: Add non-static methods to namespace-content
",0,1,0
"poppler-glib: Drop unnecessary dependencies

Thanks to tarnyko for the patch.

Fixes bug 702873.
",0,0,1
"gtktemplate: Allow connecting signals of the template class itself
",1,0,0
"codegen: Allow scope=async delegates to be used in vala code

Fixes bug 703804
",1,0,0
"Align gtk templates to new gtk+/glib api

Based on patch by ebassi.
",1,0,0
"libarchive: Fix read_data_block C name

Fixes bug 704612.
",0,1,0
"Do not warn for non-default parameter if it's ellipsis
",0,1,0
"girparser: Support scope=async parameters.

Based on patch by Evan.

Fixes bug 704176.
",1,0,0
"Do not warn about non-default parameters for coroutines.

Reopens bug 644241.
",0,1,0
"Support chain up to constructv functions.
",1,0,0
"codegen: Inherit array_{length,null_terminated} from base parameter

First commit to start inheriting ccode attributes of parameters
from base parameters of base methods.

Partially fixes bug 642885.
",1,0,0
"codegen: Inherit array_{length,null_terminated} from base parameter

First commit to start inheriting ccode attributes of parameters
from base parameters of base methods.

Partially fixes bug 642885.
",1,0,0
"Fix subtle bug in flowanalyzer that made the compiler crash

By not copying the datatype the parent_node was overwritten.
The bug was reproducible only with G_SLICE=always-malloc .
",0,1,0
"Set parent_node and always copy datatype when assigned to code nodes.

This is a delicate patch that fixes subtle memory corruption bugs in
libvala users and the compiler itself.
It might break some application, so this commit is open for testing.
",0,1,0
"Revert ""Set parent_node and always copy datatype when assigned to code nodes.""

This reverts commit a09c9e93af0d64b9331c274de573465fe070b722.

Fixes bug 709587.
",0,1,0
"Fix crash due to not copying a type
",0,1,0
"girparser: Support new gir format (deprecated, doc-version, doc-deprecated)
",1,0,0
"Merge branch 'staging'

Conflicts:
	vala/valagirparser.vala
",0,0,0
"Fix memory leak when assigning an owned gvariant to an unowned variable

Fixes bug 710882.
",0,1,0
"Revert ""gio-2.0: Fix uint8[]/char** types for contents parameters for g_file_[load|replace]_contents()""

This reverts commit e4ef6fb72f560da385a09d262ef8afd2b64a1fc8.
",0,1,0
"gio-2.0: Update. New Notification and Subprocess api

Based on patch by Florian MÃ¼llner.

Fixes bug 710912.
",1,0,0
"codegen: Zero length of arrays when transferring ownership

This allows var data = (owned) aGenericArray.data;
without later setting data.len = 0 manually.
",1,0,0
"analyzer: Fix critical when catch clause does not catch an ErrorType

Based on patch by Severin Heiniger.

Fixes bug 670806.
",0,1,0
"gtk+-2.0, gtk+-3.0: Improve TextMark constructor with nullables and defaults
",0,1,0
"girparser: Fix some source reference when reporting errors after parsing
",0,1,0
"girparser: Handle delegate aliases

Fixes bug 667751
",1,0,0
"codegen: Fix memory leak introduced by fe9beb82b6809
",0,1,0
"gtktemplate: Handle callbacks for detailed signals

Fixes bug 720825
",1,0,0
"Fix coalescing operator semantics check.

The left operand was not put in any code block
before the check, thus it wasn't able to transform itself.

Fixes bug 691514.
",0,1,0
"codegen: Support ""foo is G""
",1,0,0
"glib-2.0: Fix short.abs() to be an instance method
",0,1,0
"Fix calling methods on struct pointers

Fixes bug 686190
",0,1,0
"codegen: Reduce the number of temporary variables

If a temporary variable has been generated internally,
do not create another regardless of whether it's floating or not.
",0,0,1
"codegen: Always assume external interface properties are gobject properties
",0,1,0
"Fix semantics for coalesce operator when target_type is null.

Fixes bug 639482
",0,1,0
"Add create_temp_access to properly access a temp variable after transformation
",0,1,0
"Use create_temp_access instead of local.floating in MethodCall
",0,0,1
"Use create_temp_access instead of local.floating in ObjectCreation
",0,0,1
"Avoid unnecessary copies when using the coalescing operator

Fixes bug 661985
",1,0,0
"Drop LocalVariable.floating usage, replaced by create_temp_access
",0,0,1
"Fix regression when coalescing: value owned if either of the two is owned
",0,1,0
"Add build-aux/test-driver to .gitignore
",0,0,1
"Fix regression in method calls that throw errors with Value target type

Related to bug 723009
",0,1,0
"gtkmodule: Ensure child gtypes are initialized before creating the template

Fixes bug 720282
",1,0,0
"girparser: Add type_id metadata
",1,0,0
"girparser: Shut unused destroys_instance warning
",0,1,0
"gstreamer-1.0: Fix ElementFactory.get_static_pad_templates return type

Fixes bug 720694
",0,1,0
"girparser: Shut warning about unused experimental metadata
",0,1,0
"girparser: Add array_null_terminated, fixes hand-written change in gio
",0,1,0
"dbusserver: Rename the generated ""parameters"" identifier

Fixes bug 725555.
",0,1,0
"gio-2.0: Make Action.state, state_type and parameter_type nullable

Fixes bug 725367
",0,1,0
"gio-2.0: Also make Action.get_state_hint nullable
",0,1,0
"gtk+-2.0, gtk+-3.0: Make ComboBox.set_active_iter parameter nullable

Fixes bug 726141
",0,1,0
"Add test for bug 726347
",0,0,1
"gstreamer-1.0: Make Element.add_pad parameter unowned

Fixes bug 702960
",0,1,0
"gstreamer-1.0: Make Bin.add_many first parameter unowned

Fixes bug 702969
",0,1,0
"gstreamer-1.0: Make Bin.add first parameter unowned
",0,1,0
"codegen: Inherit array_length and array_null_terminated of methods

Fixes bug 726744
",1,0,0
"gidlparser: Do not set nullable to void type
",0,1,0
"gstreamer-0.10: Set GstURIHandler.get_uri_type vfunc to get_type

Fixes bug 726745
",0,1,0
"tests: Use sed '$d' because head -n -1 is not portable

Fixes bug 726908
",0,1,0
"atk: Update and fix metadata

Fixes bug 727029
",1,1,0
"girparser: Support interface aliases
",1,0,0
"libnotify: Updated to 0.7.6-3-gda49c8c

See https://bugzilla.gnome.org/show_bug.cgi?id=667904
",1,0,0
"gdl-3.0: Update after the GdkEvent change from struct to class
",0,1,0
"Remove gedit from all-bindings as it will be shipped upstream
",1,0,0
"geocode-glib-1.0: update to 3.12.0-5-g7eb1490
",1,0,0
"gobject-introspection-1.0: regenerate according to vala-girs
",1,0,0
"girparser: reset cheader_filenames before parsing a gir

Remove gedit-2.20 from all-bindings due to a random bug.
Sometimes it's successful, sometimes it's not.
",0,1,0
"gtk+3.0: fix Application.set_accels_for_action array parameter

Fixes bug 727752
",0,1,0
"Support (unowned type)[] syntax for transfer-container arrays

Fixes bug 571486
",1,0,0
"Fix writing vapis with (unowned type)[]
",0,1,0
"girparser: Make array element type owned by default
",0,1,0
"Revert ""girparser: Make array element type owned by default""

This reverts commit 1c814e174d161102ea3288121f6b4c09c8b46482.
",0,1,0
"Fix gir and gidl bindings due to (unowned type)[] arrays
",0,1,0
"Support explicit interface methods implementation

Fixes bug 652098
",1,0,0
"gobject: Add Binding.unbind

Fixes bug 730967
",1,0,0
"codegen: Simplify field initialization for struct types

Fixes bug 703996
",1,0,0
"girparser: use identifier prefix from GIR when appropriate

Fixes bug 731066
",1,0,0
"glib-2.0: support Variant objv

Fixes bug 729695
",1,0,0
"gvariant module: Fix memory leak when deserializing hashtables with gvariant

Fixes bug 698260
",0,1,0
"non-nullable: Accessing array methods is safe when the array is null

Partially fixes bug 728656
",0,1,0
"Call g_signal_handlers_destroy on gtypeinstance finalizer

Fixes bug 708130
",1,0,0
"codewriter: Do not write (unowned string)[] for constants

The element type of a constant array is forced to be unowned
in the parser. Therefore we don't write (unowned string) to avoid
breaking vapi parsing uselessly with older valac versions.

Fixes bug 732080
",0,1,0
"Fix previous 6c36eb4 commit
",0,1,0
"Add lvalue_access = false to Mutex and Cond

Fixes bug 733500
",0,1,0
"Add Simon Werbeck to THANKS
",0,0,1
"Report an error when parsing non-public struct fields

Fixes bug 683413
",0,1,0
"parser: Report error only for private instance fields in structs

Fixes bug 734787
",1,1,0
"glib-2.0: fix Hmac.update bindings

Fixes bug 735041
",0,1,0
"Report warning instead of error for private struct fields
",0,1,0
"Fix critical when using binary expression in a generics context

Fixes bug 735117
",0,1,0
"Fix regression when assigning owned expressions to unowned variables.

The regression was introduced by db462e6f919da758fb.

Fixes bug 736016
",0,1,0
"Fix critical on method varargs introduced by 7b6ee1be

Fixes bug 736168
",0,1,0
"Resolve symbols in named arguments

Fixes bug 736235
",0,1,0
"girwriter: Write accessor methods for interface properties

Fixes bug 733115
",1,0,0
"Revert ""Fix regression when assigning owned expressions to unowned variables.""

This reverts commit ba1fa0759989dcbb9046c7dfc06cce6c4aa23411.

Due to bug #736774
",0,1,0
"gtk+-3.0: Add a11y.h header to accessible objects

Based on patch by Peter Vagner

Fixes bug 735265
",0,1,0
"gstreamer-1.0: remove owned to floating reference parameters

Commit 6296d34707 (bug 730983) added the owned
keyword back without any reason.

Fixes bug 738012
",0,1,0
"fix typo for non-constant field initializers
",0,0,1
"Add test for commit 0f0bca7e0519
",0,0,1
"Use .ascii_up() instead of .up()

Fixes bug 739393
",0,1,0
"gtk+-2.0, gtk+-3.0: make TextBuffer insert methods ref the iter

Yes, this breaks users of this api. Can't do better, sorry.

Fixes bug 736198
",0,1,0
"gobject-2.0: Add DestroysInstance to Binding.unbind()

Fixes bug 740117
",0,1,0
"Update gio vapi after vala-girs update
",1,0,0
"Warn about unused attributes

This may not be the best approach, but it's a start
",1,0,0
"Fix recent syntax errors with older valac
",0,1,0
"Add more default attributes
",1,0,0
"Add ScanfFormat to used attributes
",1,0,0
"Add more used attributes

Fixes bug 741089
",1,0,0
"Add other missing CCode arguments, NoWrapper and DestroysInstance
",1,0,0
"Error when lambda parameter has incompatible direction with the delegate

Fixes bug 740894
",1,0,0
"Support XOR operation for booleans

Fixes bug 729907
",1,0,0
"Add used DBus attribute and fix UnixMountEntry lower_case_cprefix

Fixes bug 741089
",1,1,0
"Add Signal to known attrs
",1,0,0
"Add Description to known attrs
",1,0,0
"codegen: Support constant unary expressions in field initializers
",1,0,0
"Fixed documentation comments of the service interface and abstract class.
",0,0,1
"Issue #1471310 by drunken monkey: Fixed handling of unset fields when indexing.
",0,1,0
"Issue #1819412 by drunken monkey: Added clean way for retrieving an index's data alterations and processors.
",1,0,0
"Added two @todos to includes/query.inc.
",0,0,1
"Issue #1959088 by drunken monkey: Fixed titles for contextual filters.
",0,1,0
"Adapted CHANGELOG.txt to 1.5 release.
",0,0,0
"Fixed coding style of the SearchApiStopWords processor.
",0,0,1
"Issue #872912 by drunken monkey: Expanded and fixed test cases.
",0,0,1
"Issue #1992228 by drunken monkey: Fixed current search block for empty keys.
",0,1,0
"Issue #1993536 by drunken monkey, jpieck: Fixed handling of empty values in processors.
",0,1,0
"Issue #1697246 by drunken monkey: Added ""Parse mode"" option to views.
",1,0,0
"Minor documentation fixes.
",0,0,1
"Issue #1346276 by drunken monkey: Fixed Tokenizer should only run on fulltext fields.
",0,1,0
"Improved documentation for datasource controllers.
",0,0,1
"Improved documentation for datasource controllers.
",0,0,1
"Fixed CHANGELOG.txt.
",0,0,1
"Adapted CHANGELOG.txt to 1.6 release.
",0,0,0
"Issue #1285794 by drunken monkey: Fixed ""All"" option in Views' exposed ""Items per page"" setting.
",0,1,0
"Issue #1694832 by drunken monkey: Fixed index field settings getting stale when Field API field settings change.
",0,1,0
"Issue #1288724 by brunodbo, drunken monkey, fearlsgroove: Added option for using OR in Views fulltext search.
",1,0,0
"Issue #2013581 by drunken monkey: Added multi-valued field to test module.
",1,0,0
"Issue #2010116 by drunken monkey: Enabled ""Index items immediately"" for the default node index.
",1,0,0
"Issue #1999858 by drunken monkey: Cleaned up API documentation for data alterations.
",0,0,1
"Follow-up to #1288724 by drunken monkey: Set proper default for fulltext search filter operator.
",0,1,0
"Issue #2012706 by drunken monkey: Fixed $reset parameter for load functions.
",0,1,0
"Issue #1837782 by drunken monkey: Fixed enabling of indexes through the Status tab.
",0,1,0
"Issue #1310970 by drunken monkey: Added improved UI help for determining which fields are available for sorting.
",1,0,0
"Issue #1246998 by drunken monkey: Fixed deletion of items in read-only indexes.
",0,1,0
"Issue #1311260 by drunken monkey: Fixed tokenizing of string fields.
",0,1,0
"Fix documentation style of includes/query.inc.
",0,0,1
"Issue #2024189 by drunken monkey: Improved serialization of the query class.
",1,0,0
"Issue #1612708 by drunken monkey: Fixed Views caching with facet blocks.
",0,1,0
"Adapted CHANGELOG.txt to release 1.7.
",0,0,0
"Issue #1064520 by drunken monkey: Added a processor for highlighting.
",1,0,0
"Follow-up to #1064520 by drunken monkey: Added a processor for highlighting.
",0,1,0
"Issue #2041365 by drunken monkey: Fixed error reporting for the MLT contextual filter.
",0,1,0
"Issue #2011396 by drunken monkey: Fixed support for several facets on a single field.
",0,1,0
"Issue #1414078 by drunken monkey, jaxxed: Fixed revert of exportables.
",0,1,0
"Issue #2053171 by drunken monkey: Improved tests.
",0,0,1
"Issue #1878606 by drunken monkey: Fixed labels for boolean facets.
",0,1,0
"Issue #2052701 by drunken monkey, erdos: Fixed cron queue state when disabling the module.
",0,1,0
"Issue #2057867 by drunken monkey: Fixed multiple values for taxonomy contextual filter.
",0,1,0
"Issue #2069023 by drunken monkey: Fixed reaction to disabled modules.
",0,1,0
"Issue #2071229 by drunken monkey: Fixed use of core search constant.
",0,1,0
"Issue #2077035 by maciej.zgadzaj: Fixed whitespace recognition for search keys.
",0,1,0
"Issue #1921690 by drunken monkey: Fixed stale Views cache when indexed fields change.
",0,1,0
"Adapted CHANGELOG.txt to 1.8 release.
",0,0,0
"Minor code style fix.
",0,0,1
"Follow-up to #2084953 by drunken monkey: Fixed path of links to servers in added module dependencies.
",0,1,0
"Issue #2083481 by drunken monkey, nickgs: Added ""exclude"" option for facets.
",1,0,0
"Issue #2111273 by drunken monkey: Fixed Javascript states for exposed filter operator.
",0,1,0
"Small documentation comment fix.
",0,0,1
"Follow-up to #2111273 by drunken monkey: Fixed Javascript states for exposed options filter operator.
",0,1,0
"Issue #2114593 by drunken monkey: Added list of floats to test module.
",1,0,0
"Issue #2086783 by drunken monkey: Removed Views field handlers for ""virtual"" fields.
",0,1,0
"Adapted CHANGELOG.txt to the 1.9 release.
",0,0,0
"Issue #2100191 by drunken monkey, Bojhan: Added an admin description to the Search API landing page.
",1,0,0
"Issue #1956650 by drunken monkey, wwhurley: Fixed trackItemChange not checking for empty $item_ids.
",0,1,0
"Follow-up to #2110315 by drunken monkey: Fixed Views filter for non-Field API term references.
",0,1,0
"Issue #2115127 by drunken monkey: Fixed cron indexing logic to keep the right order.
",0,1,0
"Issue #2100199 by drunken monkey: Merged index tabs for a cleaner look.
",1,0,0
"Fixed one comment line length.
",0,0,1
"Issue #2100193 by drunken monkey: Turned operations in overview into D8 dropbuttons.
",0,0,1
"Issue #2100231 by drunken monkey: Renamed ""Workflow"" tab to ""Filters"".
",1,0,0
"Issue #1961120 by drunken monkey: Fixed Views handling of short fulltext keywords.
",0,1,0
"Removed left-over CSS and applied some documentation fixes.
",0,0,1
"Some doc style fixes.
",0,0,1
"Some doc comment fixes for includes/query.inc.
",0,0,1
"Some doc comment fixes.
",0,0,1
